BCode;BVal;BLot;BFreq;BAvg;#;SCode;SVal;SLot;SFreq;SAvg;
BUKA;9341045000;49232900;855;189.73;38;AVIA;9186299500;15480200;1296;593.42;
EMTK;9118985400;18860800;1121;483.49;39;ISAT;8737412500;907200;348;9631.19;
ANTM;8804019500;5689700;1204;1547.36;40;BMTR;8359788800;32656800;3802;255.99;
PANI;8728881000;1789000;670;4879.20;41;INCO;8092484000;2063700;805;3921.35;
MPMX;8275382500;8103000;392;1021.27;42;BBTN;8036887500;6201200;989;1296.02;
INKP;8115567500;1053000;1138;7707.09;43;BREN;7595054000;1552700;794;4891.51;
MNCN;8036856600;22564700;767;356.17;44;EXCL;7261011000;3121200;979;2326.35;
BMTR;7847181800;30636500;4281;256.14;45;WIIM;7240997500;4129100;1452;1753.65;
ARTO;7523170000;2325400;818;3235.22;46;CPIN;7054013000;1586700;963;4445.71;
PGEO;7412402500;5653400;546;1311.14;47;TPIA;6781365000;1247300;541;5436.84;
CUAN;7390905000;1118600;764;6607.28;48;MAPI;6712839000;3429500;2586;1957.38;
MEDC;6209281000;5222000;417;1189.06;49;MNCN;6358133400;17863000;865;355.94;
ITMG;5632050000;211100;311;26679.54;50;PWON;6270827800;15182100;1140;413.04;
MARK;5574026000;6875200;443;810.74;51;INTP;5868720000;653800;945;8976.32;
